,provider_key,carrier,name,key,parent_key,order,data_n,sms_n,voice_n,capacity,price,phone_base,down_speed,up_speed,voice_price,sms_d,sms_i,carry_over,admin_fee,add_sim,payment_type,SIM発行料,最低利用期間,penalty,start_at,end_at,visible
,,,,d-plan-voice-5,d-plan-voice-1,,0,0,1,5,1800,,,,20円/30秒,2〜20円/通,,,3000,,,,12,"1年間の最低利用期間が設定されています。最低利用期間中の解約には、9,500円(税抜)の契約解除料が発生いたします。",,,TRUE
,,,,d-plan-voice-7,d-plan-voice-1,,0,0,1,7,2400,,,,20円/30秒,2〜20円/通,,,3000,,,,12,"1年間の最低利用期間が設定されています。最低利用期間中の解約には、9,500円(税抜)の契約解除料が発生いたします。",,,TRUE
,umobile,docomo,U-mobile MAX データ専用,u-max-data,,,1,0,0,25,2380,,,,,,,,3000,,,,,,,,TRUE
,,,U-mobile MAX データ専用 SMS,u-max-sms,,,0,1,0,25,2530,,,,20円/30秒,3～30円/通,,,3000,,,,,,,,TRUE
,,,U-mobile MAX 通話プラス,u-max-voice,,,0,0,1,25,2880,,,,20円/30秒,3～30円/通,,,3000,,,,,,,,TRUE
,,,U-mobile SUPER Talk S,u-super-talk-s,,,0,0,1,2,2980,,,,10分以内の通話：月300回まで無料（301回目以降は20円／30秒）<br>10分超過の通話：20円／30秒（10分超過分のみ）,3～30円/通,,,3000,,,,24,,,,TRUE
,,,U-mobile SUPER Talk M,u-super-talk-m,,,0,0,1,6,3980,,,,10分以内の通話：月300回まで無料（301回目以降は20円／30秒）<br>10分超過の通話：20円／30秒（10分超過分のみ）,3～30円/通,,,3000,,,,24,,,,TRUE
,,,U-mobile SUPER Talk L,u-super-talk-l,,,0,0,1,12,5980,,,,10分以内の通話：月300回まで無料（301回目以降は20円／30秒）<br>10分超過の通話：20円／30秒（10分超過分のみ）,3～30円/通,,,3000,,,,24,,,,TRUE
,,,U-mobile 通話プラス 3GB,u-voice-3,,,0,0,1,3,1580,,,,20円/30秒,3～30円/通,,,3000,,,,6,,,,TRUE
,,,U-mobile 通話プラス 5GB,u-voice-5,u-voice-3,,0,0,1,5,1980,,,,20円/30秒,3～30円/通,,,3000,,,394,,,,,
,,,LTE使い放題,lte-free,,,0,0,1,,2980,,,,20円/30秒,3～30円/通,,,3000,,,394,6,,,,TRUE
,,,LTE使い放題2,lte-free-2,,,0,0,1,,2730,,,,20円/30秒,3～30円/通,,,3000,,,394,12,,,,TRUE
,,,USEN MUSIC SIM,usen,,,0,0,1,,2980,,,,20円/30秒,3～30円/通,,,3000,,,394,12,,,,TRUE
,,,U-mobile for iPhone,u-iphone,,,0,0,1,,2980,,,,20円/30秒,3～30円/通,,,3000,,,394,12,,,,TRUE
,dream,docomo,データプラン,data-1,,10,1,0,0,1,600,,,,,,,,3000,,,,,,,,TRUE
,,,,data-3,data-1,,1,0,0,3,840,,,,,,,,3000,,,,,,,,TRUE
,,,,data-5,data-1,,1,0,0,5,1220,,,,,,,,3000,,,,,,,,TRUE
,,,,data-10,data-1,,1,0,0,10,2100,,,,,,,,3000,,,,,,,,TRUE
,,,,data-15,data-1,,1,0,0,15,3600,,,,,,,,3000,,,,,,,,TRUE
,,,,data-20,data-1,,1,0,0,20,4850,,,,,,,,3000,,,,,,,,TRUE
,,,,data-free,data-1,,1,0,0,,2200,,,,,,,,3000,,,,,,,,TRUE
,,,データSMSプラン,sms-1,,30,0,1,0,1,750,,,,,3円～/通,,,3000,,,,,,,,TRUE
,,,,sms-3,sms-1,,0,1,0,3,990,,,,,3円～/通,,,3000,,,,,,,,TRUE
,,,,sms-5,sms-1,,0,1,0,5,1370,,,,,3円～/通,,,3000,,,,,,,,TRUE
,,,,sms-10,sms-1,,0,1,0,10,2250,,,,,3円～/通,,,3000,,,,,,,,TRUE
,,,,sms-15,sms-1,,0,1,0,15,3750,,,,,3円～/通,,,3000,,,,,,,,TRUE
,,,,sms-20,sms-1,,0,1,0,20,5100,,,,,3円～/通,,,3000,,,,,,,,TRUE
,,,,sms-free,sms-1,,0,1,0,,2350,,,,,3円～/通,,,3000,,,,,,,,TRUE
,,,通話プラン,voice-1,,50,0,0,1,1,1200,,,,20円/30秒,3円～/通,,,3000,,,,,,,,TRUE
,,,,voice-3,voice-1,,0,0,1,3,1490,,,,20円/30秒,3円～/通,,,3000,,,,,,,,TRUE
,,,,voice-5,voice-1,,0,0,1,5,1920,,,,20円/30秒,3円～/通,,,3000,,,,,,,,TRUE
,,,,voice-10,voice-1,,0,0,1,10,2800,,,,20円/30秒,3円～/通,,,3000,,,,,,,,TRUE
,,,,voice-15,voice-1,,0,0,1,15,4300,,,,20円/30秒,3円～/通,,,3000,,,,,,,,TRUE
,,,,voice-20,voice-1,,0,0,1,20,5550,,,,20円/30秒,3円～/通,,,3000,,,,,,,,TRUE
,,,,voice-free,voice-1,,0,0,1,,2900,,,,20円/30秒,3円～/通,,,3000,,,,,,,,TRUE
,ocn,docomo,データ通信専用SIMカード 110MB/日コース,data-110MBd,,,1,0,0,3.3,900,,,,,,,,3000,,,,,,,,TRUE
,,,データ通信専用SIMカード 170MB/日コース,data-170MBd,data-110MBd,,1,0,0,5.1,1380,,,,,,,,,,,,,,,,TRUE
,,,データ通信専用SIMカード 3GB/月コース,data-3GBm,data-110MBd,,1,0,0,3,1100,,,,,,,,,,,,,,,,TRUE
,,,データ通信専用SIMカード 6GB/月コース,data-6GBm,data-110MBd,,1,0,0,6,1450,,,,,,,,,,,,,,,,TRUE
,,,データ通信専用SIMカード 10GB/月コース,data-10GBm,data-110MBd,,1,0,0,10,2300,,,,,,,,,,,,,,,,TRUE
,,,データ通信専用SIMカード 20GB/月コース,data-20GBm,data-110MBd,,1,0,0,20,4150,,,,,,,,,,,,,,,,TRUE
,,,データ通信専用SIMカード 30GB/月コース,data-30GBm,data-110MBd,,1,0,0,30,6050,,,,,,,,,,,,,,,,TRUE
,,,データ通信専用SIMカード 500kbpsコース,data-500kbps,data-110MBd,,1,0,0,15,1800,,,,,,,,,,,,,,,,TRUE
,,,SMS対応SIMカード 110MB/日コース,sms-110MBd,,,0,1,0,3.3,1020,,,,,月内5通目まで0円、月内6通目以降3円,,,,,,,,,,,TRUE
,,,SMS対応SIMカード 170MB/日コース,sms-170MBd,sms-110MBd,,0,1,0,5.1,1500,,,,,月内5通目まで0円、月内6通目以降3円,,,,,,,,,,,TRUE
